# data_kind=vectorized_published_figure_reference
# manuscript_figure=Fig. 11
# source_sha256=389f612b8b8a059bcc62c061f53a12b9168cec34c52785bc5bafcbb7e2e8e8a4
# y_axis_calibration=[1.3,2.3]
# displayed_time_grid=0.1,0.2,...,100.1; the manuscript does not document its conversion to Floquet layers
displayed_time,theta_0.30_pi,theta_0.35_pi,theta_0.40_pi,theta_0.45_pi,theta_0.50_pi
50.4,1.397586780217,1.471424682410,1.524235322326,1.556677383913,1.568533720939
50.5,1.399186442295,1.472879580333,1.525567169604,1.557915133750,1.569720802209
50.6,1.399664172903,1.473132921311,1.525646789519,1.557849987656,1.569590511875
50.7,1.399475976165,1.472771005363,1.525118394051,1.557213019071,1.568881159360
50.8,1.399316734482,1.472481473346,1.524713049227,1.556713576805,1.568345524202
50.9,1.399360163358,1.472423566942,1.524582760746,1.556518142230,1.568113898588
51.0,1.399389116560,1.472423566942,1.524553807545,1.556460233974,1.568070469712
51.1,1.399519405041,1.472553857277,1.524691333863,1.556626717200,1.568244188922
51.2,1.399685886414,1.472727574634,1.524879530601,1.556822151775,1.568446861334
51.3,1.399787223547,1.472843387441,1.525002581245,1.556952440256,1.568577149815
51.4,1.399895798516,1.473002630977,1.525205255509,1.557184065870,1.568823252956
51.5,1.399953703067,1.473190825861,1.525494785674,1.557545979965,1.569221359943
51.6,1.399533880716,1.472915771371,1.525350019665,1.557502549235,1.569228597780
51.7,1.398766621797,1.472228132368,1.524727524902,1.556952440256,1.568700200459
51.8,1.398332323771,1.471786596505,1.524293228729,1.556503664703,1.568258664597
51.9,1.398534996183,1.471938602204,1.524394565862,1.556568808944,1.568302095326
52.0,1.399345685831,1.472655192556,1.525031534446,1.557140635141,1.568823252956
52.1,1.400170853006,1.473379022599,1.525654027356,1.557683508136,1.569329934913
52.2,1.400416954294,1.473509312933,1.525690220248,1.557647317097,1.569257550982
52.3,1.400083993401,1.473125683474,1.525263160060,1.557169590195,1.568765346553
52.4,1.399504929367,1.472568332951,1.524713049227,1.556633955037,1.568229711395
52.5,1.398752146122,1.471858980436,1.524054365278,1.556011462127,1.567614456322
52.6,1.397651924457,1.470816665174,1.523048241056,1.555041528943,1.566651760975
52.7,1.396160833643,1.469361765399,1.521629534172,1.553644535571,1.565276486674
52.8,1.394481547944,1.467704195064,1.519993679202,1.552030395966,1.563684058727
52.9,1.393352373077,1.466589495872,1.518893455684,1.550951889665,1.562620029954
53.0,1.393033887859,1.466343394584,1.518726976164,1.550843314696,1.562554883860
53.1,1.392585112306,1.466039386892,1.518553255101,1.550785406439,1.562540408186
53.2,1.391043354778,1.464649633210,1.517286553916,1.549612802697,1.561425708993
53.3,1.388777769060,1.462507096284,1.515252591959,1.547658460655,1.559500322006
53.4,1.387069528307,1.460900192663,1.513725308253,1.546167373546,1.558030946556
53.5,1.386664183483,1.460538278568,1.513392349213,1.545848886474,1.557719699175
53.6,1.387170865439,1.461016005469,1.513826645385,1.546268706973,1.558125043999
53.7,1.387626878829,1.461399636782,1.514152368441,1.546543763315,1.558371147140
53.8,1.387344584649,1.461117342602,1.513855600440,1.546239755624,1.558067137595
53.9,1.386237125147,1.460103978689,1.512929097985,1.545356683898,1.557213019071
54.0,1.384594028634,1.458641842929,1.511611726381,1.544155125101,1.556047653166
54.1,1.382719310213,1.456977032905,1.510120635567,1.542808802148,1.554766472601
54.2,1.380844589939,1.455297749059,1.508629544752,1.541462477342,1.553492531725
54.3,1.379628557321,1.454226480595,1.507703042297,1.540666263369,1.552783179210
54.4,1.379454836257,1.454125143463,1.507688566623,1.540724171625,1.552884516343
54.5,1.380041138129,1.454668016458,1.508195248579,1.541216374201,1.553369481081
54.6,1.380859067467,1.455297749059,1.508658499807,1.541549336947,1.553622822060
54.7,1.381908620565,1.456093961179,1.509237563841,1.541961919608,1.553970260480
54.8,1.383305612085,1.457338950705,1.510345023343,1.542968043831,1.554932953974
54.9,1.384557837595,1.458591174363,1.511611726381,1.544241984706,1.556214132686
55.0,1.385057279861,1.459148524886,1.512234221144,1.544915146183,1.556909009527
55.1,1.384536124084,1.458627367255,1.511713061660,1.544401226389,1.556402329424
55.2,1.383334567139,1.457382379582,1.510424645111,1.543083856638,1.555070480292
55.3,1.382147484016,1.456137391908,1.509121751034,1.541737531832,1.553695205990
55.4,1.381655279587,1.455587279223,1.508528211326,1.541093323557,1.553014804824
55.5,1.382364633956,1.456209773986,1.509071082468,1.541563812622,1.553456340687
55.6,1.384130777407,1.457831153281,1.510554933592,1.542939090629,1.554780950128
55.7,1.386700376375,1.460183600457,1.512711948046,1.544951337221,1.556728052480
55.8,1.389530550452,1.462825581503,1.515201923393,1.547325501615,1.559044308616
55.9,1.391571752099,1.464823352421,1.517170741109,1.549265364276,1.560976933440
56.0,1.391962619395,1.465344510051,1.517793235872,1.549967478954,1.561700765336
56.1,1.390587343241,1.464128475580,1.516707489882,1.548983071949,1.560774262882
56.2,1.388176987809,1.461732597675,1.514333327342,1.546630624774,1.558429051690
